time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180827:1810,0.0,0.0,0.0,0.0,0.0,23.54,2.69,0.0
20180827:1910,0.0,0.0,0.0,0.0,0.0,22.95,2.34,0.0
20180827:2010,0.0,0.0,0.0,0.0,0.0,22.27,2.07,0.0
20180827:2110,0.0,0.0,0.0,0.0,0.0,21.28,1.86,0.0
20180827:2210,0.0,0.0,0.0,0.0,0.0,20.4,1.66,0.0
20180827:2310,0.0,0.0,0.0,0.0,0.0,20.09,1.31,0.0
20180828:0010,0.0,0.0,0.0,0.0,0.0,20.05,1.03,0.0
20180828:0110,0.0,0.0,0.0,0.0,0.0,19.54,0.97,0.0
20180828:0210,0.0,0.0,0.0,0.0,0.0,19.04,0.97,0.0
20180828:0310,0.0,0.0,0.0,0.0,0.0,17.68,1.1,0.0
20180828:0410,0.0,0.0,0.0,0.0,0.0,16.87,1.17,0.0
20180828:0510,1430.4,0.0,26.04,0.63,5.13,16.42,1.17,0.0
20180828:0610,15127.2,104.33,81.8,4.41,15.94,18.1,0.9,0.0
20180828:0710,39031.2,291.81,123.63,8.19,26.68,21.87,1.17,0.0
20180828:0810,60092.4,489.89,152.64,11.73,36.93,23.94,0.97,0.0
20180828:0910,74534.4,655.44,172.16,14.53,46.04,25.86,0.62,0.0
20180828:1010,82569.6,771.2,183.28,16.42,52.91,27.42,0.21,0.0
20180828:1110,87298.8,830.97,183.92,17.29,56.01,28.58,0.62,0.0
20180828:1210,85519.2,798.62,185.7,16.79,54.31,29.36,0.97,0.0
20180828:1310,78382.8,707.94,177.03,15.24,48.4,29.88,1.24,0.0
20180828:1410,66050.4,574.41,154.86,12.84,39.83,30.15,1.45,0.0
20180828:1510,46276.8,365.95,139.29,9.37,29.84,30.12,1.66,0.0
20180828:1610,22914.0,168.93,100.27,5.59,19.2,29.71,1.93,0.0
20180828:1710,3687.6,19.64,45.51,1.93,8.37,28.63,2.34,0.0
20180828:1810,0.0,0.0,0.0,0.0,0.0,27.09,2.41,0.0
20180828:1910,0.0,0.0,0.0,0.0,0.0,25.7,2.41,0.0
20180828:2010,0.0,0.0,0.0,0.0,0.0,24.33,1.79,0.0
20180828:2110,0.0,0.0,0.0,0.0,0.0,23.58,1.38,0.0
20180828:2210,0.0,0.0,0.0,0.0,0.0,23.22,1.1,0.0
20180828:2310,0.0,0.0,0.0,0.0,0.0,22.21,1.1,0.0
20180829:0010,0.0,0.0,0.0,0.0,0.0,21.02,1.17,0.0
20180829:0110,0.0,0.0,0.0,0.0,0.0,20.03,1.31,0.0
20180829:0210,0.0,0.0,0.0,0.0,0.0,19.06,1.38,0.0
20180829:0310,0.0,0.0,0.0,0.0,0.0,18.24,1.52,0.0
20180829:0410,0.0,0.0,0.0,0.0,0.0,17.73,1.52,0.0
20180829:0510,1282.8,0.0,24.36,0.59,4.94,17.44,1.45,0.0
20180829:0610,14359.2,85.22,90.21,4.08,15.75,19.23,1.1,0.0
20180829:0710,34891.2,216.09,158.72,7.44,26.49,23.16,0.69,0.0
20180829:0810,57361.2,452.34,170.97,11.36,36.72,25.52,0.34,0.0
20180829:0910,62353.2,402.87,288.08,12.56,45.78,27.33,0.28,0.0
