2025-08-18 17:59:23.478 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:09:20.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.565, WS=1.9308, P_predicted=0.0
2025-08-18 17:59:25.937 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:25.0, P_real=0.0
2025-08-18 17:59:28.453 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:30.0, P_real=0.0
2025-08-18 17:59:30.897 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:35.0, P_real=0.0
2025-08-18 17:59:33.400 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:40.0, P_real=0.0
2025-08-18 17:59:33.445 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:09:40.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.5625, WS=1.9304, P_predicted=0.0
2025-08-18 17:59:35.942 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:45.0, P_real=0.0
2025-08-18 17:59:38.417 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:50.0, P_real=0.0
2025-08-18 17:59:40.889 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:09:55.0, P_real=0.0
2025-08-18 17:59:43.415 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:00.0, P_real=0.0
2025-08-18 17:59:43.479 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into solarData: timestamp=2023-05-21 00:10:00.0, Gb=0.0, Gd=0.0, Gr=0.0, HSun=0.0, T=16.56, WS=1.93, P_predicted=0.0
2025-08-18 17:59:45.892 [Thread-0] INFO  it.evsmartcharging.DatabaseManager - Inserted row into realPower: timestamp=2023-05-21 00:10:05.0, P_real=0.0
